Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,CR2032-BS-6-1,BAT_CR2032-BS-6-1,127.508000,-133.096000,0.000000,top
C3,22pF,C_0603_1608Metric,100.584000,-84.328000,180.000000,top
C5,22pF,C_0603_1608Metric,94.488000,-84.328000,180.000000,top
J9,10118193-0001LF,FCI_10118193-0001LF,66.823750,-139.529500,0.000000,top
MICRO_SD1,TF-01A,TF-01A,85.090000,-134.366000,0.000000,top
R1,3.3K,R_0603_1608Metric,92.964000,-120.904000,0.000000,top
R2,3.3K,R_0603_1608Metric,99.060000,-112.776000,0.000000,top
R3,3.3K,R_0603_1608Metric,104.394000,-113.284000,-90.000000,top
R4,3.3K,R_0603_1608Metric,92.964000,-117.094000,0.000000,top
R5,100,R_0603_1608Metric,104.648000,-84.328000,0.000000,top
R6,470,R_0603_1608Metric,88.138000,-87.122000,90.000000,top
R13,10K,R_0603_1608Metric,128.524000,-113.792000,0.000000,top
R14,10K,R_0603_1608Metric,128.524000,-110.998000,0.000000,top
U1,ATmega328P-A,TQFP-32_7x7mm_P0.8mm,96.500000,-94.300000,-90.000000,top
U4,"74LVC125APW,118",SOP65P640X110-14N,102.362000,-122.174000,180.000000,top
U6,DS1307ZN+,SOIC-8_3.9x4.9mm_P1.27mm,122.174000,-115.570000,0.000000,top
