Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10 uF,C_0603_1608Metric,126.492000,-68.072000,180.000000,top
C2,22pF,C_0603_1608Metric,111.760000,-53.340000,0.000000,top
C4,10 uF,C_0603_1608Metric,123.431000,-74.676000,0.000000,top
C5,22pF,C_0603_1608Metric,107.188000,-53.340000,180.000000,top
C9,10 uF,C_0603_1608Metric,132.588000,-76.962000,180.000000,top
IC1,DW01A,SOT23-6,134.112000,-65.532000,90.000000,top
R1,1K,R_0603_1608Metric,121.666000,-71.628000,0.000000,top
R2,1K,R_0603_1608Metric,125.222000,-71.628000,0.000000,top
R3,100,R_0603_1608Metric,114.554000,-59.436000,90.000000,top
R4,0 R,R_0603_1608Metric,137.160000,-62.230000,180.000000,top
R5,1K,R_0603_1608Metric,138.430000,-66.294000,-90.000000,top
R6,10K,R_0603_1608Metric,121.920000,-59.182000,-90.000000,top
R7,100,R_0603_1608Metric,128.016000,-74.676000,0.000000,top
R8,470,R_0603_1608Metric,117.602000,-53.848000,0.000000,top
R9,470,R_0603_1608Metric,121.666000,-53.848000,180.000000,top
U1,ATmega328P-A,TQFP-32_7x7mm_P0.8mm,105.918000,-62.738000,-90.000000,top
U2,TP4056,SOP127P600X175-9N,121.412000,-65.278000,-90.000000,top
U4,FS8205A,SOT-23-6,135.890000,-70.866000,0.000000,top
